a,name,type,foundation,location,products,sector,employee,assets,equity,revenue,profit
http://dbpedia.org/resource/Deutsche_EuroShop,Deutsche EuroShop AG,http://dbpedia.org/resource/Aktiengesellschaft,1999,http://dbpedia.org/resource/Germany,Investment in shopping centers,http://dbpedia.org/resource/Real_property,4,2.96E+09,1.25E+09,2.24E+08,8.04E+07
http://dbpedia.org/resource/Deutsche_EuroShop,Deutsche EuroShop AG,http://dbpedia.org/resource/Aktiengesellschaft,1999,http://dbpedia.org/resource/Hamburg,Investment in shopping centers,http://dbpedia.org/resource/Real_property,4,2.96E+09,1.25E+09,2.24E+08,8.04E+07
http://dbpedia.org/resource/Industry_of_Machinery_and_Tractors,Industry of Machinery and Tractors,http://dbpedia.org/resource/Društvo_sa_ograničenom_odgovornošću_-_d.o.o.,8/12/1996,http://dbpedia.org/resource/Belgrade,http://dbpedia.org/resource/Tractors,http://dbpedia.org/resource/Agribusiness,4,4.65E+07,0,30000,-€0.47 million
http://dbpedia.org/resource/Industry_of_Machinery_and_Tractors,Industry of Machinery and Tractors,http://dbpedia.org/resource/Društvo_sa_ograničenom_odgovornošću_-_d.o.o.,8/12/1996,http://dbpedia.org/resource/Serbia,http://dbpedia.org/resource/Agricultural_machinery,http://dbpedia.org/resource/Agribusiness,4,4.65E+07,0,30000,-€0.47 million
http://dbpedia.org/resource/Industry_of_Machinery_and_Tractors,Industry of Machinery and Tractors,http://dbpedia.org/resource/Društvo_sa_ograničenom_odgovornošću_-_d.o.o.,8/12/1996,http://dbpedia.org/resource/Belgrade,http://dbpedia.org/resource/Agricultural_machinery,http://dbpedia.org/resource/Agribusiness,4,4.65E+07,0,30000,-€0.47 million
http://dbpedia.org/resource/Industry_of_Machinery_and_Tractors,Industry of Machinery and Tractors,http://dbpedia.org/resource/Društvo_sa_ograničenom_odgovornošću_-_d.o.o.,8/12/1996,http://dbpedia.org/resource/Serbia,http://dbpedia.org/resource/Tractors,http://dbpedia.org/resource/Agribusiness,4,4.65E+07,0,30000,-€0.47 million
http://dbpedia.org/resource/Telexfree,TelexFree Inc.,http://dbpedia.org/resource/Private_company,2/2/2012,http://dbpedia.org/resource/Massachusetts,99,http://dbpedia.org/resource/Multi-level_marketing,7,did not disclose,did not disclose,did not disclose,did not disclose
http://dbpedia.org/resource/Telexfree,(prev. Common Cents Communications Inc.),http://dbpedia.org/resource/Private_company,2/2/2012,http://dbpedia.org/resource/United_States,99,http://dbpedia.org/resource/Multi-level_marketing,7,did not disclose,did not disclose,did not disclose,did not disclose
http://dbpedia.org/resource/Telexfree,TelexFree Inc.,http://dbpedia.org/resource/Private_company,2/2/2012,"http://dbpedia.org/resource/Marlborough,_Massachusetts",99,http://dbpedia.org/resource/Multi-level_marketing,7,did not disclose,did not disclose,did not disclose,did not disclose
http://dbpedia.org/resource/Telexfree,(prev. Common Cents Communications Inc.),http://dbpedia.org/resource/Private_company,2/2/2012,"http://dbpedia.org/resource/Marlborough,_Massachusetts",99,http://dbpedia.org/resource/Multi-level_marketing,7,did not disclose,did not disclose,did not disclose,did not disclose
